Field=#~Integer~#~50|Field=Assembly Info~String~Assembly Info~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=PartType~String~PartType~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Manufacturer~String~Manufacturer~100|Field=Part Description~String~Part Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LimeSDR-QPCIe_1v2.PrjPcb|ReportField=ProjectFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-QPCIe_1v2\AltiumDesigner Design files\LimeSDR-QPCIe_1v2.PrjPcb|ReportField=Title~Bill of Materials For Project [LimeSDR-QPCIe_1v2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~2025|ReportField=ReportTime~16:24:36|ReportField=ReportDate~2017-09-21|ReportField=ReportDateTime~2017-09-21 16:24:36|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Surrey Tech Centre|ReportField=Address2~Guildford GU2 7YG|ReportField=Address3~Surrey|ReportField=Address4~United Kingdom|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017-09-21|ReportField=CurrentTime~16:22:35|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-QPCIe_1v2\AltiumDesigner Design files\Schematics\01_BlockDiagram.SchDoc|ReportField=DocumentName~01_BlockDiagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017-09-21|ReportField=Organization~Lime Microsystems|ReportField=ProjectName~LimeSDR-QPCIe_1v2.PrjPcb|ReportField=Revision~v1.2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~27|ReportField=Time~|ReportField=Title~Block diagram|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.70:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=2970:PaperWidth=2100:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=DataSourceFileName~LimeSDR-QPCIe_1v2.PrjPcb|ReportField=DataSourceFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-QPCIe_1v2\AltiumDesigner Design files\LimeSDR-QPCIe_1v2.PrjPcb
1||CR1220 Battery Holder||BATT1|CR1220_SMD_holder|1||CR1220 Battery Holder|BC501SM|Digi-Key|BC501SM-ND|MPD (Memory Protection Devices)|HOLDER COIN CELL FOR CR1220 SMD
12|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue]|10uF, 16V||C229, C278, C302, C557, C558, C582, C583, C607, C608, C632, C633, C644, C645, C648, C654, C655, C747, C788, C928, C935, C941, C946, C990, C992|CAP0603|24||10uF, 16V|GRM188R61C106MA73D|Digi-Key|490-7201-2-ND|Yageo|10µF ±20% 16V Ceramic Capacitor X5R 0603 (1608 Metric)
13||22uF, 10V||C259, C646, C656, C661, C662, C670, C671, C681, C682, C687, C688, C691, C692, C696, C697, C707, C713, C715, C717, C719, C722, C985, C986, C988, C989|CAP0603|25||22uF, 10V|C1608X5R1A226M080AC|Mouser|810-C1608X5R1A226M|TDK Corporation|22µF ±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)
14||2.2uF, 16V|CAP CER 2.2UF 16V 10% X5R 0402|C261, C267, C559, C584, C609, C634, C779, C797, C801, C833, C837, C841, C842, C847, C853, C863, C874, C880, C953, C956, C961, C964, C977, C980, C987, C991|CAP0402|26||2.2uF, 16V|C1005X5R1C225K050BC|Digi-Key|445-9085-6-ND|TDK Corporation|2.2µF ±10% 16V Ceramic Capacitor X5R 0402 (1005 Metric)
15|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], NF|220uF, 4V||C335, C336, C337, C342, C343, C348, C349, C354, C355, C360, C361, C366, C372, C378, C384, C562, C612, C886, C887, C888, C889, C890, C891|CAP1206|23|GRM31CR60G227ME11L|220uF, 4V|GRM31CR60G227ME11L|Digi-Key|490-9774-1-ND|Murata Electronics North America|220µF ±20% 4V Ceramic Capacitor X5R 1206 (3216 Metric)
16||4.7uF, 10V||C339, C345, C351, C357, C363, C369, C375, C381, C387|CAP0603|9||4.7uF, 10V|CGB3B1X5R1A475K055AC|Mouser|810-CGB3B1X5R1A475KC|TDK Corporation|4.7µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)
17|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], NF, [NoValue], [NoValue], NF|100uF, 6.3V||C367, C373, C379, C385, C902, C903, C904, C913, C914, C915, C916, C917, C918|CAP1206|13||100uF, 6.3V|GRM31CR60J107ME39L.|Farnell|1735535|MURATA|SMD Multilayer Ceramic Capacitor, 1206 [3216 Metric], 100 µF, 6.3 V, ± 20%, X5R, GRM Series
18||0.1uF||C544, C553, C561, C594, C603, C611|CKCA43X7R1C104M100AA|6||0.1uF|CKCA43X7R1C104M100AA|Mouser|810-CKCA43X7R1C104M|TDK|0.10µF ±20% Isolated Capacitor 4 Array 16V X7R 1206 (3216 Metric)
19||0R||C637, C643, C649, C653|CAP0402|4||0R|RC0402JR-070RL|Digi-Key|311-0.0JRTR-ND|Yageo|RES SMD 0.0OHM JUMPER 1/16W 0402
20||6.8pF, 50V||C642, C652|CAP0402|2|GRM1555C1H6R8BA01D|6.8pF, 50V|GRM1555C1H6R8BA01D|Digi-Key|490-6252-1-ND|Murata Electronics North America|6.8pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
21||13pF, 5%||C703, C704|CAP0402|2||13pF, 5%|GRM1555C1H130JA01D|Digi-Key|490-5925-2-ND|Murata Electronics North America|13pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
